,Questions,Answers,chatGpt3.5,AnswersWithRag
0,"A 39-year-old woman is evaluated for anemia. Her  laboratory studies reveal a hemoglobin of 7.4 g/dL,  hematocrit of 23.9%, mean corpuscular volume of  72 fL, mean cell hemoglobin of 25 pg, and mean cell  hemoglobin concentration of 28%. The peripheral  smear is shown in Figure 2. Which of the follow- ing tests is most likely to be abnormal in this patient?  A. Ferritin B. Haptoglobin C. Hemoglobin electrophoresis D. Glucose-6-phosphate dehydrogenase E. Vitamin B12","The answer is A.  (Chap. 2) This patient with anemia demonstrates a low  mean cell volume, low mean cell hemoglobin, and  low mean cell hemoglobin concentration. The periph- eral smear demonstrates microcytic and hypochromic  cells, which would be expected given these laboratory  findings. In addition, there is marked variation in size   Review and Self-Assessment 753 (anisocytosis) and shape (poikilocytosis). These find- ings are consistent with severe iron-deficiency anemia,  and serum ferritin would be expected to be <10 to   15 Î¼g/L. A low haptoglobin level would be seen in cases  of hemolysis, which can be intravascular or extravascu- lar in origin. In intravascular hemolysis, the peripheral  smear would be expected to show poikilocytosis with  the presence of schistocytes (fragmented red blood cells  [RBCs]). In extravascular hemolysis, the peripheral  smear would typically shows spherocytes. Hemoglo- bin electrophoresis is used to determine the presence of  abnormal hemoglobin variants. Sickle cell anemia is the  most common form and demonstrates sickled RBCs.  Thalassemias are also common inherited hemoglobinop- athies. The peripheral smear in thalassemia often shows  target cells. Glucose-6-phosphate dehydrogenase defi- ciency leads to oxidant-induced hemolysis with presence  of bite cells or blister cells. Vitamin B12 deficiency leads  to macrocytosis, which is not consistent with this case.","C. Hemoglobin electrophoresis

This patient likely has a microcytic, hypochromic anemia, which is commonly seen in iron deficiency anemia. Hemoglobin electrophoresis is used to identify different types of hemoglobin, so it would be the most likely test to be abnormal in this patient if she has a hemoglobinopathy such as thalassemia. The other tests listed are not typically used to diagnose or evaluate anemia.",A. Ferritin
1,"A 62-year-old man is evaluated for anemia. He has a  hemoglobin of 9.0 g/dL (normal hemoglobin value,  15 g/dL), hematocrit of 27.0% (normal hemato- crit, 45%), mean cell volume of 88 fL, mean cell  hemoglobin of 28 pg, and mean cell hemoglobin  concentration of 30%. On peripheral blood smear,  polychromatophilic macrocytes are seen. The retic- ulocyte count is 9%. What is the reticulocyte pro- duction index? A. 0.54 B. 1.67 C. 2.7 D. 4.5 E. 5.4","The answer is C.  (Chap. 2) The reticulocyte index and reticulocyte pro- duction index are useful in the evaluation of anemia to  determine the adequacy of bone marrow response to the  anemia. A normal reticulocyte count is 1â€“2%, and in  the presence of anemia, this would be expected to rise  to more than two to three times the normal value (the  reticulocyte index). The reticulocyte index is calculated  as Reticulocyte count Ã— (Patientâ€™s hemoglobin/Normal  hemoglobin). In this case, the reticulocyte index would  be 5.4%. A second correction is further necessary in this  patient given the presence of polychromatophilic mac- rocytes on peripheral smear. This finding indicates pre- mature release of reticulocytes from the bone marrow  (â€œshift cellsâ€_x009d_), and thus these cells have a longer life span.  It is recommended to further divide the reticulocyte  index by a factor of 2, which is known as the reticulo- cyte production index. In this case, the value would be  2.7%.","The reticulocyte production index (RPI) is calculated using the formula:

RPI = (Patient's reticulocyte count / Normal reticulocyte count) x (Patient's hematocrit / Normal hematocrit)

In this case, the patient's reticulocyte count is 9% and the normal reticulocyte count is typically around 1-2%. The patient's hematocrit is 27% and the normal hematocrit is 45%.

RPI = (9 / 1.5) x (27 / 45) = 6 x 0.6 = 3.6

Therefore, the correct answer is not listed, but the closest option is C. 2.7.","The reticulocyte production index (RPI) can be calculated using the formula provided in the context information. Based on the given values, the reticulocyte count is 9% and the hematocrit is 27%. By applying the formula, the correct answer is D. 4.5."
2,"You are asked to review the peripheral blood smear  from a patient with anemia (Figure 4). Serum lac- tate dehydrogenase is elevated, and there is hemo- globinuria. This patient is likely to have which  physical examination finding?  A. Goiter B. Heme-positive stools C. Mechanical second heart sound D. Splenomegaly E. Thickened calvarium","The answer is C. (Chap. 2) This blood smear shows fragmented red blood  cells (RBCs) of varying size and shape. In the presence  of a foreign body within the circulation (prosthetic heart  valve, vascular graft), RBCs can become destroyed.  Such intravascular hemolysis will also cause serum lactate  dehydrogenase to be elevated and hemoglobinuria. In  isolated extravascular hemolysis, there is no hemoglobin  or hemosiderin released into the urine. The characteris- tic peripheral blood smear in splenomegaly is the pres- ence of Howell-Jolly bodies (nuclear remnants within  red blood cells). Certain diseases are associated with  extramedullary hematopoiesis (e.g., chronic hemolytic  anemias), which can be detected by an enlarged spleen,  thickened calvarium, myelofibrosis, or hepatomegaly.  The peripheral blood smear may show teardrop cells  or nucleated RBCs. Hypothyroidism is associated with  macrocytosis, which is not demonstrated here. Chronic  gastrointestinal blood loss will cause microcytosis, not  schistocytes.","D. Splenomegaly

Splenomegaly is a common physical examination finding in patients with hemolytic anemia, which is suggested by the elevated serum lactate dehydrogenase and hemoglobinuria in this case. The peripheral blood smear may also show evidence of hemolysis, such as schistocytes or spherocytes. Splenomegaly occurs because the spleen is involved in the removal of damaged red blood cells in hemolytic anemias.",D. Splenomegaly
3,All of the following are common manifestations of  bleeding caused by von Willebrand disease EXCEPT: A. Angiodysplasia of the small bowel B. Epistaxis C. Menorrhagia D. Postpartum hemorrhage E. Spontaneous hemarthrosis,"The answer is E.  (Chap. 3) von Willebrand disease (VWD) is an inher- ited disorder of platelet adhesion that has several types.  The most common type is inherited in an autosomal  dominant fashion and is associated with low levels of  qualitatively normal von Willebrand factor. As a disorder  primary hemostasis associated with the development of  a platelet plug, VWD is primarily associated with muco- sal bleeding. General bleeding symptoms that are more  common in VWD include prolonged bleeding after  surgery or dental procedures, menorrhagia, postpartum  hemorrhage, and large bruises. However, easy bruising  and menorrhagia are common complaints and are not  specific for VWD in isolation. Factors that raise concern  for VWD in women with menstrual symptoms include  iron-deficiency anemia, need for blood transfusion, pas- sage of clots >1 inch in diameter, and need to change a  pad or tampon more than hourly. Epistaxis is also a very  common occurrence in the general population, but it is  the most common complaint of males with VWD. Con- cerning features of epistaxis that may be more likely to  indicate an underlying bleeding diathesis are lack of sea- sonal variation and bleeding that requires medical atten- tion. Although most gastrointestinal bleeding in indi- viduals with VWD is unrelated to the bleeding diathesis,  VWD types 2 and 3 are associated with angiodysplasia  of the bowel and gastrointestinal bleeding. Spontane- ous hemarthroses or deep muscle hematomas are seen  in clotting factor deficiencies and not seen VWD except  severe VWD with associated decreased factor VIII levels  <5%.",A. Angiodysplasia of the small bowel,A. Angiodysplasia of the small bowel
4,"A 68-year-old man is admitted to the intensive  care unit with spontaneous retroperitoneal bleed- ing and hypotension. He has a medical history of  hypertension, diabetes mellitus, and chronic kidney  disease stage III. His medications include lisinopril,  amlodipine, sitagliptin, and glimepiride. On initial  presentation, he is in pain and has a blood pressure  of 70/40 mm Hg with a heart rate of 132 beats/ min. His hemoglobin on admission is 5.3 g/dL  and hematocrit is 16.0%. His coagulation studies  demonstrate an aPTT of 64 seconds and a PT of  12.1 seconds (INR 1.0). Mixing studies (1:1) are  performed. Immediately, the aPTT decreases to   42 seconds. At 1 hour, the aPTT is 56 seconds, and  at 2 hours, it is 68 seconds. Thrombin time and  reptilase time are normal. Fibrinogen is also nor- mal. What is the most likely cause of the patientâ€™s  coagulopathy? A. Acquired factor VIII deficiency B. Acquired factor VIII inhibitor C. Heparin D. Lupus anticoagulant E. Vitamin K deficiency FIGURE 4 FIGURE 2  Review and Self-Assessment 727","The answer is B.  (Chap. 3) The activated partial thromboplastin time  (aPTT) measures the integrity of the intrinsic and com- mon coagulation pathways, and as such, is affected by  all of the coagulation factors, except factor VII. The  aPTT reagent contains phospholipids derived from ani- mal or vegetable sources and includes an activator of  the intrinsic coagulation system, such as nonparticulate  ellagic acid or kaolin. The phospholipid reagent fre- quently varies from laboratory to laboratory. Thus, an  aPTT measured in one hospital may differ from another.  Isolated elevations in the aPTT can be related to fac- tor deficiencies, heparin or direct thrombin inhibitors,  lupus anticoagulant, or the presence of a specific fac- tor inhibitor. To differentiate between the presence of  factor deficiencies and inhibitors, mixing studies should  be performed. Mixing studies are performed by mixing  normal plasma and the patientâ€™s plasma in a 1:1 ratio.  The aPTT and prothrombin time (PT) are incubated at   Review and Self-Assessment 754 37oC, and levels are measured immediately and serially  thereafter for about 2 hours. If the cause is an isolated  factor deficiency, the aPTT should correct to normal  values and remain normal throughout the incubation  period. In the presence of an acquired inhibitor, the  aPTT may or may not correct immediately, but upon  incubation, the inhibitor becomes more active, and the  aPTT will progressively prolong. In contrast, the aPTT  does not correct immediately or with incubation in the  presence of lupus anticoagulants. The presence of serious  bleeding in the presence of mixing studies suggesting  an inhibitor should further rule out lupus anticoagu- lant as a cause because the lupus anticoagulant typically  presents with no symptoms or as a thrombotic disorder.  The mixing studies do not, however, eliminate the pres- ence of heparin as a cause of the prolonged aPTT. If  heparin were present, the thrombin time, but not the  reptilase time, would be prolonged. In this scenario,  both values were normal, ruling out the presence of  heparin or a direct thrombin inhibitor. Likewise, dis- seminated intravascular coagulation can be ruled out  in the presence of normal fibrinogen levels. In serious  vitamin K deficiency, both the PT and aPTT should be   prolonged.","B. Acquired factor VIII inhibitor

The patient's prolonged aPTT that does not correct with mixing studies suggests the presence of an inhibitor. Acquired factor VIII inhibitor is a rare condition in which the immune system produces antibodies that target and inhibit factor VIII, leading to a coagulopathy. This can result in spontaneous bleeding, as seen in this patient. Other causes of prolonged aPTT, such as heparin or lupus anticoagulant, would typically correct with mixing studies.",The most likely cause of the patient's coagulopathy is D. Lupus anticoagulant.
5,"A 54-year-old man is seen in the clinic complaining  of painless enlargement of lymph nodes in his neck.  He has not otherwise been ill and denies fevers,  chills, weight loss, and fatigue. His past medical  history is remarkable for pulmonary tuberculosis  that was treated 10 years previously under directly  observed therapy. He currently takes no medica- tions. He is a heterosexual man in a monogamous  relationship for 25 years. He denies illicit drug use.  He has smoked 1Â½ packs of cigarettes daily since  16 years of age. He works as a logger. On physical  examination, the patient is thin but not ill-appear- ing. He is not febrile and has normal vital signs.  He has dental caries noted with gingivitis. In the  right supraclavicular area, there is a hard and fixed  lymph node measuring 2.5 Ã— 2.0 cm in size. Lymph  nodes <1 cm in size are noted in the anterior cervi- cal chain. There is no axillary or inguinal lymph- adenopathy. His liver and spleen are not enlarged.  Which of the following factors in history or physi- cal examination increases the likelihood that the  lymph node enlargement is caused by malignancy? A. Age older than 50 years B. Location in the supraclavicular area C. Presence of a lymph node that is hard and fixed D. Size >2.25 cm2 (1.5 Ã— 1.5 cm) E. All of the above","The answer is E.  (Chap. 4) Lymphadenopathy has many causes, including  infections, immunologic diseases, and malignancy among  others. In the vast majority of cases, the cause of enlarged  lymph nodes is a benign process. In the primary care  practice, fewer than 1% of individuals will have malig- nancy, and in individuals referred for lymphadenopathy,  this number rises only to 16%. Some features on history  and physical examination lead to an increased likelihood  that the cause of lymphadenopathy is infectious. Fevers  and chills are more commonly present in benign respira- tory illness but can be present in malignancy. Thus, fever  is a nonspecific symptom. Likewise, generalized versus  focal lymphadenopathy is also not specific. The site of  lymph node enlargement can be important and raise  the risk of malignancy. The presence of supraclavicular  lymphadenopathy is never normal. These lymph nodes  drain the thoracic cavity and retroperitoneal space and   are most commonly enlarged in malignancy. However,  infectious etiologies can also cause supraclavicular lymph- adenopathy. The size and texture of the lymph nodes  also provide important information. Nodes <1.0 cm Ã—  1.0 cm are almost always benign, but lymph nodes >2.0 cm   in maximum diameter or with an area of 2.25 cm2  (1.5 Ã— 1.5 cm) are more likely to be malignant. Nodes  containing metastatic cancer tend to be described as  hard, fixed, and nontender. In lymphoma, however,  the nodes can be tender because of rapid enlargement  of the node with subsequent stretching of the capsule of   the lymph nodes. Lymphomatous nodes are also fre- quently described as firm, rubbery, and mobile.","E. All of the above

All of the factors listed in the options (age older than 50 years, location in the supraclavicular area, presence of a lymph node that is hard and fixed, and size >2.25 cm2) increase the likelihood that the lymph node enlargement is caused by malignancy. These factors are commonly associated with malignancies such as lymphoma or metastatic cancer.",E. All of the above
6,"A 24-year-old woman presents for a routine  checkup and complains only of small masses in her  groin. She states that they have been present for at  least 3 years. She denies fever, malaise, weight loss,  and anorexia. She works as a sailing instructor and  competes in triathlons. On physical examination,  she is noted to have several palpable 1-cm inguinal  lymph nodes that are mobile, nontender, and dis- crete. There is no other lymphadenopathy or focal  findings on examination. What should be the next  step in management? A. Bone marrow biopsy B. CT scan of the chest, abdomen, and pelvis C. Excisional biopsy D. Fine-needle aspiration for culture and cytopathology E. Pelvic ultrasonography F. Reassurance","The answer is F.  (Chap. 4) This patientâ€™s lymphadenopathy is benign.  Inguinal nodes smaller than 2 cm are common in the  population at large and need no further workup pro- vided that there is no other evidence of disseminated  infection or tumor and that the nodes have qualities that  do not suggest tumor (not hard or matted). A practi- cal approach would be to measure the nodes or even  photograph them if visible and follow them serially over  time. Occasionally, inguinal lymph nodes can be associ- ated with sexually transmitted diseases. However, these  are usually ipsilateral and tender, and evaluation includes  bimanual examination and appropriate cultures, not nec- essarily pelvic ultrasonography. A total-body CT scan  would be indicated if other pathologic nodes suggestive  of lymphoma or granulomatous disease are present in  other anatomic locations. Bone marrow biopsy would  be indicated only if a diagnosis of lymphoma is made  first.","C. Excisional biopsy

Given the patient's history of small masses in the groin that have been present for at least 3 years, and her occupation as a sailing instructor and participation in triathlons, it is important to rule out any potential malignancy. An excisional biopsy of the inguinal lymph nodes would provide a definitive diagnosis and guide further management.",C. Excisional biopsy
7,All of the following diseases are associated with  massive splenomegaly (spleen extends 8 cm below  the costal margin or weighs >1000 g) EXCEPT: A. Autoimmune hemolytic anemia B. Chronic lymphocytic leukemia C. Cirrhosis with portal hypertension D. Marginal zone lymphoma E. Myelofibrosis with myeloid metaplasia,"The answer is C.  (Chap. 4) Portal hypertension causes splenomegaly via  passive congestion of the spleen. It generally causes only  mild enlargement of the spleen because expanded varices  provide some decompression for elevated portal pres- sures. Myelofibrosis necessitates extramedullary hemato- poiesis in the spleen, liver, and even other sites such as  the peritoneum, leading to massive splenomegaly caused  by myeloid hyperproduction. Autoimmune hemolytic  anemia requires the spleen to dispose of massive amounts  of damaged red blood cells, leading to reticuloendothe- lial hyperplasia and frequently an extremely large spleen.  Chronic myeloid leukemia and other leukemias and  lymphomas can lead to massive splenomegaly caused by  infiltration with an abnormal clone of cells. Marginal  zone lymphoma typically presents with splenomegaly. If  a patient with cirrhosis or right heart failure has mas- sive splenomegaly, a cause other than passive congestion  should be considered.","C. Cirrhosis with portal hypertension

Cirrhosis with portal hypertension is not typically associated with massive splenomegaly.",B. Chronic lymphocytic leukemia
8,"The presence of Howell-Jolly bodies, Heinz bod- ies, basophilic stippling, and nucleated red blood  cells in a patient with hairy cell leukemia before  any treatment intervention implies which of the  following? A. Diffuse splenic infiltration by tumor B. Disseminated intravascular coagulation (DIC) C. Hemolytic anemia D. Pancytopenia E. Transformation to acute leukemia","The answer is A.  (Chap. 4) The presence of Howell-Jolly bodies (nuclear  remnants), Heinz bodies (denatured hemoglobin), baso- philic stippling, and nucleated red blood cells (RBCs) in  the peripheral blood implies that the spleen is not properly  clearing senescent or damaged RBCs from the circula- tion. This usually occurs because of surgical splenectomy  but is also possible when there is diffuse infiltration of  the spleen with malignant cells. Hemolytic anemia can  have various peripheral smear findings depending on the  etiology of the hemolysis. Spherocytes and bite cells are  an example of damaged RBCs that might appear because  of autoimmune hemolytic anemia and oxidative dam- age, respectively. Disseminated intravascular coagulation  is characterized by schistocytes and thrombocytopenia  on smear with an elevated international normalized ratio   Review and Self-Assessment 755 and activated partial thromboplastin time as well. How- ever, in these conditions, damaged RBCs are still cleared  effectively by the spleen. Transformation to acute leuke- mia does not lead to splenic damage.","C. Hemolytic anemia

These findings are characteristic of hemolytic anemia, which is common in patients with hairy cell leukemia due to the destruction of red blood cells by the abnormal leukemia cells.",C. Hemolytic anemia
9,Which of the following is true regarding infection  risk after elective splenectomy? A. Patients are at no increased risk of viral infection  after splenectomy. B. Patients should be vaccinated 2 weeks after splenec- tomy. C. Splenectomy patients over the age of 50 are at great- est risk for postsplenectomy sepsis. D. Staphylococcus aureus is the most commonly impli- cated organism in postsplenectomy sepsis. E. The risk of infection after splenectomy increases  with time.,"The answer is A.  (Chap. 4) Splenectomy leads to an increased risk of  overwhelming postsplenectomy sepsis, an infection  that carries an extremely high mortality rate. The most  commonly implicated organisms are encapsulated. Strep- tococcus pneumoniae, Haemophilus influenzae, and sometime  gram-negative enteric organisms are most frequently  isolated. There is no known increased risk for any viral  infections. Vaccination for S. pneumoniae, H. influenzae,  and Neisseria meningitidis is indicated for any patient who  may undergo splenectomy. The vaccines should be  given at least 2 weeks before surgery. The highest risk  of sepsis occurs in patients younger than 20 years of age  because the spleen is responsible for first-pass immunity,  and younger patients are more likely to have primary  exposure to implicated organisms. The risk is highest  during the first 3 years after splenectomy and persists at a  lower rate until death.",E. The risk of infection after splenectomy increases with time.,E. The risk of infection after splenectomy increases with time.
