Question,Answer,Explanation
Which of the following tumor,Ans. (b) Pleuropulmonary blastoma; (c) Cystic  nephroma; (d) Thyroid carcinoma;,"(e) Sertoli-Leydig  cell tumor (Ref: Robbins 9th/pg 5; pg 1033) Dicer is a type III cytoplasmic endoribonuclease that  is involved in the maturation of several classes of small  non-coding RNAs, such as microRNAs. Germline loss- of-function mutations in DICER1 are associated with  pleuropulmonary blastoma (PPB), ovarian sex cord- stromal tumors, ciliary body medulloepitheliomas, nasal  chondromesenchymal hamartomas, multinodular goiter  and differentiated thyroid carcinomas, cystic nephroma  and, more rarely, anaplastic sarcoma of kidney. DICER1  mutations have also been documented in pediatric tumors  including Wilms' tumor and in pituitary blastoma (PitB). 2."
Integrin binds to,"Ans. (d) Laminin > Fibronectin  Integrins localised in the plasma membrane are the major  adhesion receptors connecting cells with components of  the extracellular matrix. Integrins interact directly with  laminin, fibronectin present in the basal lamina and  intracellularly contact actin through intermediate proteins,  such as alpha-actinin, vinculin, and talin  3.",No explanation provided.
The small inner circles in the given image of EM signifies which of the following,"Ans. (b) Neurosecretory granules Neurosecretion is the storage, synthesis and release of  hormones from neurons. These neurohormones, produced  by neurosecretory cells, are normally secreted from nerve  cells in the brain that then circulate into the blood. 4.",No explanation provided.
False about micro satellites is,Ans. (a) Repeat size more than 10 to 15 nucleotides 5.,No explanation provided.
Type 1 collagen is present in all except,Ans. (b) Cartilage Please Refer to Explanation of Q.21 6.,No explanation provided.
Which among the following is not seen in disorder to deficiency in elastin production,Ans. (d) Bone fracture 7.,No explanation provided.
Which Vitamin increases iron Absorption,Ans. (a) Vitamin C 8.,No explanation provided.
Which of the following plays a role in gene editing,Ans. (b) CRISPR (Ref. R 9th/p 5-6) CRISPR-Cas9 is a genome editing tool essential in adaptive  immunity in select bacteria enabling the organisms to  respond to and eliminate invading genetic material 9.,No explanation provided.
Cell to cell permeability occurs through,Ans. (c) Connexins,(Ref: Robbins 9th/ pg 11)  ? Communicating junctions (Gap junctions): mediate the  passage of chemical or electrical signals from one cell to  another.  ? Consists of pores called connexions and formed by  hexamers of transmembrane proteins called connexins 10.
Tensile strength of tendon depends on,Ans. (b) Collagen,(Ref: Robbins 9th/ pg 12-13) Fibrous structural proteins like Collagens confer tensile  strength and & elastins provide recoil to the tension 11.
