Questions,Answers
"All of the following are the normal hemostasic response to vascular 
injury, except:
a. Endothelium 
b. Stasis of blood flow
c. Platelets 
d. Coagulation factors","Ans. b. Stasis of blood flow 
Ref: Hoffbrand 5/e p783
The  hemostatic system is a complex mosaic of activating or inhibitory 
feedback or feed-forward pathways, integrating its five major components.
Activating 
 
Inhibitory
• Blood vessels (Endothelium)  
– Endothelium
• Blood platelets 
 
–  Coagulation inhibitors
• Coagulation factors 
 
–  Fibrinolytic elements"
"Which of these statements is not true regarding platelets?
a. During maturation megakaryocytes undergoes endomitotic nuclear 
division
b. Thrombopoietin is mainly produced by liver
c. Lifespan of platelets is 7–10 days
d. They extrude their nucleus before forming mature platelets","Ans. d. They extrude their nucleus before forming mature platelets 
 
Ref: William’s 8/e p238, 1721, 1722, 1724, 1726
Endomitosis is the characteristic feature of megakaryocyte development 
in which the DNA is repeatedly replicated in absence of nuclear or 
cytoplasmic division. Megakaryocyte is the cell where endomitosis begins.  
Thrombopoietin being the primary regulator of megakarocyte maturation 
is mainly produced by liver, though some amount is also produced by 
kidney, marrow stroma and skeletal muscle. The circulatory life span of 
platelet is approximately 10 days with normal platelet count, but shorter 
in patients with moderate (7 days) to severe (5 days) thrombocytopenia. 
Mature platelets are formed as proplatelet from megakaryocytes. Nucleus 
is not extruded from megakaryocyte."
"Palpable purpura is seen in all except:
a. ITP 
b. HSP
c. Acute meningococcemia 
d. Polyarteritis nodosa","Ans. a. ITP 
Ref: Harrison 17/e
Purpura can be of 2 types
Palpable
Non-palpable
• 
Vasculitis (leukocytoclastic 
vasculitis)
• 
Drugs (antibiotics)
• 
Infections (Hepatitis C)
• 
Autoimmune connective tissue 
diseases (RA, lupus, Sjogren 
syndrome)
• 
HSP
• 
PAN
• 
Embolic type
• 
Meningococcemia
• 
Disseminated gonococcal infection
• 
RMSF
• 
Erythema gangrenosum
Steroid Purpura
ITP
Vascular fragility (Amyloidosis
Ehlers-Danlos Syndrome)
Thrombi
DIC
TTP
Warfarin reaction
Cryoglobulinemia
Thrombocytosis
Fat emboli
9
Platelets and Hemostasis"
"One unit of random donor platelet ideally increases the platelet count 
in an adult by:
a. 5000 
b. 10000
c. 15000 
d. 20000","Ans. a. 5000 
Ref: William 8/e p2306
The increment in platelet count depends on many factors but if all other 
factors are absent then 1 unit of whole blood derived random platelet 
increases the platelet count by 5,000/mm3 per square metre.  So in a 
person of BSA 2 m2 it should raise by 10000/mm3 and of 1.5 m2 by 7500/
mm3 respectively."
"Most specific test in diagnosing HIT:
a. ELISA 
b. Serotonin release assay
c. Prolonged PT/APTT 
d. Prothrombin fragment 1.2 level","Ans. b. Serotonin release assay 
Ref: William’s 8/e p2176
Thrombocytopenia is the key laboratory finding in HIT and ranges from 
20 to 100 thousand/mm3 or 50–70% decline from baseline. For confirming 
diagnosis two assay prototypes are available. One is ELISA based for 
detection of Ig antibodies to heparin–PF4 complexes and the other 
measure heparin–dependent antibodies that activate platelets. Activation 
assays are not available commercially because specific platelet donors are 
needed each time and donor platelets vary greatly in their sensitivity to 
activation by HIT sera. 14C–serotonin release assay is the best established 
activation assay. As compared to antigen assay, activation assays have 
greater specificity.  The risk status for HIT can be assessed by 4Ts.
Clinical sign
Points per category
0
1
2
Thrombocytopenia
< 10000 or 
< 30% fall
10–20,000 or 
30–50% fall
20–100, 000 or > 
50% fall
Timing of 
thrombocytopenia 
or thrombosis
< 4 days 
(unless prior 
heparin 
in last 3 
weeks)
5–10 days 
(but not well 
documented) 
or < 1 day 
with prior 
exposure in 
last 3 weeks
Documented 
occurrence in 5–10 
days or < 1 day with 
recent prior exposure
Thrombotic related 
event
None
Common 
thrombosis 
(DVT or line 
thrombus) 
or rec. 
thrombosis
Major vessel 
thrombus or skin 
necrosis or skin 
lesion at the site of 
heparin infusion
Thrombocytopenia 
(Other causes)
Definite
Possible
No other strong 
explanation for 
thrombocytopenia
Interpretation: 6-8 > high risk, 4-5 intermediate risk, 0-3 low risk
10 
Mcqs in Hematology"
"Most common cause of thrombocytopenia in children is:
a. Aplastic anemia 
b. ITP
c. TTP 
d. Drug induced","Ans. b. ITP 
Ref: Hoffman 5/e p2083
ITP is the most common cause of acquired severe thrombocytopenia and 
50% of ITP cases are children, i.e. < 10 years of age."
"In Thrombotic Thrombocytopenic Purpura (TTP) which of the 
following is true?
a. PT is prolonged 
b. APTT is prolonged
c. Both PT and APTT are prolonged
d. Both PT and APTT are normal 
1
 
Platelets and
Hemostasis
4 
Mcqs in Hematology","Ans. d. Both PT and APTT are normal 
Ref: Hoffman 5/e p2101
In TTP PT/APTT and fibrinogen levels are usually normal or only mild 
perturbed.  Mild elevations in fibrin degradation products occur in 50% 
of patients."
"Falsely low platelets (pseudothrombocytopenia) is seen in all except:
a. EDTA
b. Presence of giant platelets
c. Multiple myeloma
d. Heparin","Ans. d. Heparin 
Ref: William’s 8/e p1892
Pseudothrombocytopenia has been reported in association with the use 
of EDTA as an anticoagulant, with platelet cold agglutinins associated 
with multiple myeloma, platelet satellitism, giant platelets and platelet 
agglutination.  Other anticoagulants such as sodium citrate, oxalate, acid 
citrate dextrose and heparin can also cause platelet agglutination but is 
less frequent."
"Which of the following is not a first line therapy in ITP?
a. IVIg 
b. Anti-D
c. Rituximab 
d. Steroids","Ans. c. Rituximab 
Ref: William’s 8/e p1906-08
IVIg, anti-D and steroids are the first line treatment options given in ITP. 
Rituximab is usually given in cases of chronic ITP who fail to steroids."
"Which of the following is not true regarding post transfusion 
purpura?
a. It is most commonly due to anti HPA-1a antibodies
b. Usually develops after 3 weeks of blood transfusion
c. The treatment of choice is IVIg
d. Even HLA matched platelets are not useful","Ans. b. Usually develops after 3 weeks of blood transfusion 
 
Ref: Hoffman 5/e p2095-2096
The typical patient is a multiparous, middle aged or elderly female who 
presents with the acute onset of bleeding due to severe thrombocytopenia, 
a mean of 6–8 days (range 1–14 days) after receiving a blood product 
containing platelet material. Sera of more than 90% of patients contain 
antibodies to HPA-1a which is expressed on 97–98% of Caucasians. 
Bleeding usually lasts for 10 days, but can persist for 60–120 days with 
fatality rates of 10%. The treatment of choice is IVIg 1g/kg/day × 2 days. 
More than 90% of patients respond within 2-3 days.  HLA matched platelets 
are generally not useful."
"Bernard – Soulier syndrome is characterized by all except:
a. Low platelet count
b. Giant platelets
c. Aggregation with ristocetin
d. Has defect in GPIb/IX","Ans. c. Aggregation with ristocetin 
Ref: William’s 8/e p1944-1945
Thrombocytopenia is present in nearly all patients and ranges from 20,000 
to near–normal levels.  Platelets are large and small.  The hallmark of BSS is 
the failure of platelets to aggregate in response to ristocetin or botrocetin. 
BSS platelets are deficient in GPIb, GPIX and GPV."
"In TTP, anemia is due to:
a. Autoimmunity
b. Hypersplenism
c. Bleeding
d. Platelet aggregates (microangiopathy)","Ans. d. Platelet aggregates (microangiopathy) 
 
Ref: William’s 8/e p2166-2167
Approximately 1/3rd of patients have symptoms of hemolytic anemia 
(due to microangiopathic hemolytic anemia). Hemolysis is indicated 
11
Platelets and Hemostasis
by an elevated reticulocyte count, serum LDH and decreased serum 
haptoglobin.  DCT is almost always negative."
"Which of the following is true about von Willebrand factor?
a. It cross links platelet to each other
b. It is functional in large multimeric form
c. Plasma VWF is derived from platelets
d. It carries factor IX","Ans. b. It is functional in largest multimeric form 
 
 
Ref: Hoffman 5/e p1954-1956
VWF attaches platelets to the endothelium and vessel walls and not 
the platelets to each other. The most potent form of VWF is the large 
multimeric form. The Endothelium secretes VWF by one of the two 
pathways.  The constitutive pathway–directly coupled to VWF synthesis 
and occurs without stimulation and the regulated pathway–involving VWF 
stored in Weibel–Palade bodies, is initiated by the action of secretagogues. 
VWF secreted by the constitutive pathway is in the largest multimeric 
form. The constitutive secretion of VWF from endothelium maintains 
the Plasma VWF level. During activation after tissue injury, it is released 
from the Weibel–Palade bodies of and α-granules of platelet.  VWF carries 
factor VIII and not IX."
"Which of the following does not inhibit platelet activation?
a. Ecto-ADPase 
b. Prostacyclins
c. Nitric oxide 
d. ADP","Ans. d. ADP 
Ref: William’s 8/e p1788-1789
The inhibitory pathways in platelets are CD39 (Ecto-ADPase), nitric oxide 
and PGE2 (at high concentrations) and PGI2 also called prostacyclins (at 
low concentrations)"
"Which of the following is the strongest activator of platelet?
a. Thrombin  
b. Serotonin
c. Thromboxane A2 
d. Epinephrine","Ans. a. Thrombin
Strong
Weak
Thrombin Collagen ADP
Others – Shear
Epinephrine 
 
 
Thromboxane A2/Prostoglandin H2 
Serotonin 
Platelet activating factor
Vasopressin
Thrombospondin-1
Thrombolytic agent"
"Which of the following is not true?
a. Coagulation is started by the interaction of tissue factor with factor 
VIIa
b. Factor VIIa/TF complex activates IX and X
5
Platelets and Hemostasis
c. Tissue factor is expressed on endothelial cell
d. Small amount of factor VII circulates in activated form but is inactive 
unless bound to tissue factor","Ans. c. Tissue factor is expressed on endothelial cells 
 
Ref: William’s 8/e p"
"Which of the following is not a risk factor for disseminated intra­
vascular clotting (DIC)?
a. Amniotic fluid embolism
b. Snake bite
c. Abruptio placentae
d. Major orthopedic surgery","1835, Hoffman 5/e p1826
The formation of a factor VIIa/TF complex at the site of injury is the 
major initiating event in hemostasis in vivo.  The factor VIIa/TF complex 
can activate both factor IX and X.  TF is normally expressed on pericytes 
around blood vessel and by epidermal, stromal and glial cells. In Contrast 
to other proenzymes, factor VII circulates in the blood in two forms: the 
inactive zymogen factor VII and the active form VIIa. The concentration 
of factor VIIa is low but sufficient to generate significant factor X–with 
the help of tissue factor.  
12 
Mcqs in Hematology"
"Which of the following is not seen in DIC? 
a. Prolonged PT/APTT
b. Thrombocytopenia with schistocytes in peripheral blood
c. High levels of FDP/D-dimer
d. Increased fibrinogen levels","Ans. d. Major orthopedic surgery 
Ref: Williams 8/e p2108 to 2113
The risk factor for DIC are infections, purpura fulminans, solid tumors, 
leukemias, trauma, brain injury, burns, liver disease, heat stroke, snake 
bites, hemangiomas, aortic aneurysm, transfusion reaction, abruptio 
placentae, amniotic fluid embolism, pre-eclampsia and eclampsia, HELLP 
syndrome, dead fetus syndrome, acute fatty liver of pregnancy."
"A falsely low platelet count can be seen in all of the following, except:
a. Platelet aggregation
b. Platelet satellitism
c. Presence of giant platelets
d. Hyper gammaglobulimenia","Ans. d. Increased fibrinogen levels 
Ref: William’s 8/e p2107 – 2108
Fibriongen levels are actually decreased and not increased in DIC."
"Macrothrombocytopenia is characteristically seen in all, except:
a. Bernard-Soulier syndrome
b. Gray-platelet syndrome
c. May-Hegglin anomaly
d. Wiskott-Aldrich syndrome","Ans. d. Gammaglobuliermia 
Ref: Dacie & Lewis 10/e p111 – 112
Pseudothrombocytopenia is seen with giant platelets (macro thrombo-
cytopenia) which is seen most commonly in West Bengal, India. In 
about 1% of individuals, EDTA causes platelet clumping, resulting 
in pseudothrombocytopenia. Occasionally platelets may be seen 
adhering to neutrophils (platelet satellitism). Presence of platelet cold 
agglutinins is seen with multiple myeloma.  GP IIb/IIIa antagonists (e.g. 
abciximab) is associated with both pseudothrombocytopenia and true 
thrombocytopenia.  Antiphospholipid antibodies are also associated with 
pseudothrombocytopenia."
"Which of the following is not true about Wiskott–Aldrich syndrome?
a. Thrombocytopenia
b. Autosomal recessive
c. Small platelets
d. Eczema
e. Platelet dysfunction to various agonists","Ans. d. Wiskott–Aldrich Syndrome 
 
 
Ref: William’s 8/e p1894, 1896, 1948, 1944
May–Hegglin anomaly, Fechtner syndrome, Sebastian syndrome and 
Epstein syndrome are autosomal dominant macrothrombocytopenia with 
mutations in the MYH9 gene.  Wiskott – Aldrich Syndrome is a rare X-linked 
immunodeficiency disorder characterized by microthrombocytopenia, 
eczema, recurrent infections, T-cell deficiency and increased risk for 
autoimmune and lympho proliferative disorders.  Platelets appear larger 
than normal, pale ghost like, oval forms on blood smear in Gray–platelet 
syndrome.  Thrombocytopenia is common and can be moderately severe. 
In Bernard-Soulier syndrome, thrombocytopenia is present in nearly all 
patients, but is variable in its severity, ranging from approximately 20,000/
mm3 to normal levels."
