Questions,Answers
" An 88-year-old man is referred for further evalu- ation of anemia. He has generally been in good  health, and his active medical issues only include  mild hypertension, which has been well con- trolled on a diuretic. Review of systems was  unremarkable for fatigue, dyspnea, melena, or  bright red blood per rectum. He was noted at the  time of routine physical examination to have  heme negative stool and on complete blood count  was found to have a hemoglobin level of 13.0 g/ dL, MCV 88 fL, RDW 14.0 %.   Question 1.   The ﬁ nding of a hemoglobin of  13.0 g/dL in an 88-year-old man is:   A.  Potentially within the age appropriate normal  range    B.  Clearly abnormal and warrants extensive fur- ther  diagnostic  evaluation,  including  endoscopy    C.  Clearly abnormal and warrants further labo- ratory diagnostic studies     D.  Clearly abnormal, but does not warrant further  diagnostic evaluation because of patient age  ",A 
 Question 2.   A reticulocyte count for the  88-year-old man with the hemoglobin of  13.0 g/dL and hematocrit of 40 % is obtained  and is found to be 1.7 %. The reticulocyte  index is:   A.  0.8 %    B.  1.3 %    C.  1.5 %   D.  1.7 % ,C 
 Question 3.   One schistocyte per high-power  ﬁ eld seen on this 88-year-old man’s smear  indicates:   A.  Myelophthisis is likely to be present.    B.  Vitamin B 12 deﬁ ciency may be present.    C.  Atypical hemolytic uremic syndrome may be  present.     D.  A potentially normal ﬁ nding. ,D 
"and Other Causes of Anemia   A 27-year-old woman with no signiﬁ cant past  medical history presents to her primary care   physician for a routine visit. She occasionally  takes ibuprofen for headaches but takes no other  medications. On review, she notes mild fatigue  but attributes this to long hours at work. She has  never been pregnant, and notes regular, but heavy  menses. Physical examination is essentially unre- markable. A complete blood count reveals a  hemoglobin level of 10.5 g/dL with an MCV of  78 fL and RDW of 18 %.   Question 4.   What is the best testing strategy  in this individual for the diagnosis of iron  deﬁ ciency?   A.  Serum iron, serum transferrin    B.  Serum iron, serum total iron binding capacity    C.  Serum ferritin   D.  Serum soluble transferrin receptor ",C 
" Question 5.   Some oval-shaped larger red  blood cells (ovalocytes) and several neutro- phils with ﬁ ve lobes are seen on review of the  27-year-old woman’s blood smear raising the  possibility of a mixed picture anemia. What  are the most appropriate tests to obtain in the  evaluation for megaloblastic anemia?   A.  Serum folate, vitamin B 12 level    B.  Red cell folate, vitamin B 12 level    C.  Plasma homocysteine level, vitamin B 12 level   D.  Plasma homocysteine level and methylmalo- nic acid level ",A 
in Children and Adults   A previously well 1-year-old male is found on  screening to have a hemoglobin value of 9 g/dL  on a screening test performed at a routine visit to  the pediatrician. His mother notes nothing out of  the ordinary in his behavior. He is in the 90th per- centile for weight and is taking cereal along with  pureed fruits and vegetables in his diet while he  continues to breast feed.   Question 6.   The most likely diagnosis in this  child is:   A.  Diamond-Blackfan syndrome    B.  Transient erythroblastopenia of childhood    C.  Congenital dyserythropoietic anemia   D.  Iron deﬁ ciency anemia ,D 
"Causes of Anemia in Adulthood   A 36-year-old woman is referred to the clinic for  further evaluation of mild anemia. She has no  signiﬁ cant past medical history and takes no  medications. Her family is of northern European  decent, and she does note that her mother and sis- ter have also been told at times that they are ane- mic. Physical examination is notable for a  palpable spleen tip, but the remainder of the  examination is normal. The complete blood count  reveals a hemoglobin of 11.8 g/dL, MCV 90 fL,  RDW 15 %. A reticulocyte count is 2.4 %. Review  of the peripheral blood smear does not reveal  abnormal morphology to be present.   Question 7.   The most likely hereditary cause  of anemia in this woman is:   A.  Alpha-thalassemia trait    B.  Glucose-6-phosphate dehydrogenase deﬁ ciency    C.  Homozygous hemoglobin E   D.  Hereditary spherocytosis ",D 
"Diagnosis, and Treatment  of Microcytic Anemia   A 47-year-old man complains of weakness and  occasional dizziness beginning several days pre- viously. Physical examination shows pallor and  pale conjunctivae.  Hematology laboratory report:   Hemoglobin (Hb)  = 6.3 g/dL   MCV = 70 fL   Hct = 0.21   MCH = 21 pg   RBC =  3.0 × 10 12 /L   MCHC = 30 g/dL   Reticulocytes =  4.0 %   RDW = 19.7 %   WBC = 7.0 × 10 9 /L (normal: 4.5–10.0 × 10 9 /L)   Platelets = 400 × 10 9 /L (normal: 140–440 × 10 9 /L)   Peripheral blood smear:   RBC   Marked microcytosis and  hypochromia with moderate  variation in size (anisocytosis)  and shape (poikilocytosis). No  basophilic stippling. No increase  in polychromatophilia   WBC   Normal number and morphology   Platelets   Normal   Question 1.   What is the condition most likely  to be associated with these ﬁ ndings?   A.  Beta-thalassemia minor    B.  Iron deﬁ ciency anemia    C.  Anemia of inﬂ ammation   D.  Refractory anemia with ringed sideroblasts  (RARS) ",B 
" Question 2.   Which of the following would not  be an appropriate test or combination of tests  to conﬁ rm a diagnosis of iron deﬁ ciency?   A.  Serum ferritin    B.  Serum ferritin, serum iron, and total iron-  binding capacity (TIBC)     C.  Serum ferritin, serum iron, TIBC, and serum  hepcidin     D.  Serum ferritin, serum iron, TIBC, and serum  transferrin receptors    ",C 
" Question 3.   The diagnosis of iron deﬁ ciency  anemia is now established. The patient denies  any symptoms of peptic ulcer disease, change in  bowel habits, or rectal bleeding. He is given six  stool cards for fecal occult blood testing (FOBT),  and three of them are positive.   Table 1   Typical changes in the complete blood count with iron deﬁ ciency anemia and the anemia of inﬂ ammation   Condition   Degree of  anemia   Mean corpuscular  volume   Red cell  distribution width   White blood  cells   Platelets   Iron deﬁ ciency  anemia   Mild to severe   Decreased   Increased   Normal   Normal to  increased   Inﬂ ammation   Mild   Normal to  decreased   Normal   Normal to  increased   Normal to  increased   From: Rakel and Bope ( 2002 ), with permission   Table 2   Typical changes in measures of iron status in iron deﬁ ciency and inﬂ ammation   Condition   Serum iron   Total iron-  binding capacity   Transferrin  saturation   Serum ferritin   Serum  transferrin  receptors   Iron deﬁ ciency   Decreased   Increased   Decreased   Decreased   Increased   Inﬂ ammation   Decreased   Decreased   Decreased   Normal to  increased   Normal   From: Rakel and Bope ( 2002 ), with permission  Iron Homeostasis and the Pathophysiology and Management of Iron Deﬁ ciency  16  Which of the following statements about  gastrointestinal ( GI )  blood loss and evaluation  of the etiology is correct?   A.  The patient should have endoscopic evalua- tion of the GI tract to identify a possible  source of bleeding.     B.  If all six FOBT results had been negative, fur- ther evaluation such as endoscopy would  have been unnecessary.    C.  Iron deﬁ ciency in patients on long-term antico- agulation with warfarin occurs only when there  is an identiﬁ able site of blood loss in the GI tract.   D.  Blood loss from the GI tract is the only cause  of iron deﬁ ciency anemia in men. ",A 
 Question 4.   Which of the following approaches  to the treatment of the patient ’ s iron deﬁ ciency  anemia is appropriate?   A.  Transfusion of two units of packed red blood  cells to raise the blood hemoglobin level  above 8 g/dL    B.  Intramuscular injection of iron dextran    C.  Administration of an intravenous iron  preparation     D.  Oral iron replacement therapy with an iron  salt such as ferrous sulfate for 6 months  ,D 
"A 40-year-old man complains of shortness of 
breath with exertion. On physical examination, 
vital signs are normal, but the patient has obvious 
pallor, with pale conjunctivae and nail beds. Hematology laboratory report:
 Hb = 8.5 g/dL  
Hct = 0.25  
RBC = 3.1 � 10 12 /L  
Reticulocytes = 3.0 %  
MCV = 72 fL 
MCH = 23 pg 
MCHC = 31 g/dL 
RDW = 18.5 % 
WBC = 8.0 � 10 9 /L (normal: 4.5�10.0 � 10 9 /L) 
Platelets = 450 � 10 9 /L 
(normal: 140�440 � 10 9 /L) 
19
 Iron Homeostasis and the Pathophysiology and Management of Iron Defi ciency
 Peripheral blood smear:
 RBC 
 WBC 
 Platelets 
 Microcytosis and 
hypochromia, with increased 
anisocytosis and 
poikilocytosis, including 
�pencil-shape� cells. No 
polychromatophilia 
 Normal morphology 
 Slightly increased 
Report of serum biochemical tests:
 Serum ferritin = 8 ?g/L 
Transferrin saturation = 3.9 %, with decreased serum 
iron (18 ?g/dL) and increased TIBC (465 ?g/dL) 
The patient states that he consumes a normal 
western diet and denies hematochezia, melena, 
hematuria, or epistaxis. He is referred to a hema
tologist, who starts oral iron replacement therapy. 
After 6 weeks of oral iron therapy, while the 
patient is awaiting an appointment with a gastro
enterologist, it is noted that the hemoglobin is 
8.7 g/dL, essentially unchanged from the time of 
diagnosis. Question 5.   Which of the following are possi- ble causes of the lack of response to oral iron  therapy?   A.  Celiac disease    B.  Autoimmune atrophic gastritis    C.  Helicobacter pylori infection   D.  Inadequate adherence to oral iron therapy    E.  All of the above ",E 
 Question 6.   Appropriate tests to identify the  cause of refractory iron deﬁ ciency anemia in  this case include all of the following except:   A.  H. pylori IgG antibodies    B.  H. pylori fecal antigen    C.  TPRSS6 gene sequencing   D.  Serum gastrin    E.  Anti-endomysial antibodies or anti-TTG IgA  antibody activity ,C 
" Question 7.   What is the most appropriate  approach to treating the patient based on this  diagnosis?   A.  Because the patient is unable to absorb oral  iron, he should be treated with iron  intravenously.    B.  Transfusions of red blood cells should be  administered, as the patient likely is bleeding  from a peptic ulcer and may become hemody- namically unstable.     C.  Treatment with a proton pump inhibitor  should be started immediately to suppress  gastric acid production.   D.  So-called “triple therapy” should be adminis- tered to eradicate  H. pylori infection. ",D 
" Question 8.   Which of the following state- ments is correct regarding  H. pylori  eradica- tion and iron replacement therapy?   A.  All patients will require oral iron therapy to  achieve normal hemoglobin.    B.  The patient should receive “total-dose” IV  iron replacement to correct the anemia and  replenish iron stores.     C.  Successful eradication of  H. pylori infection  is associated with a restored ability to absorb  iron, and the patient likely will respond to  oral iron replacement therapy with correction  of anemia.    D.  Patients with  H. pylori infection who also  have autoimmune gastritis will still not be  able to absorb oral iron after successful eradi- cation of  H. pylori . ",C 
"Pathogenesis, and Treatment  of the Acute Porphyrias   A late teen-aged female developed several episodes  of acute abdominal pain, nausea and vomiting, diar- rhea, altered mental status, and grand-mal seizures.  She was hospitalized at each episode. On physical  exam, she was hypertensive and tachycardic. Her  abdomen was tender to  palpation, especially in the  right upper quadrant, but without hepatomegaly.  Her back was also painful, limiting her ability to sit  up, and her deep tendon reﬂ exes were absent. Her  initial laboratory data included an elevated white  blood cell count and a serum sodium of 125 mEq/L  (normal ≥135). After several days of negative  workup for general and surgical conditions, the  diagnosis of an acute porphyria was considered.   Question 1.   How is the diagnosis of an attack  that is caused by an acute porphyria  determined?   A.  Urine spot porphobilinogen (PBG) test, such  as the Watson-Schwartz test    B.  Analyses of urinary PBG and delta-  aminolevulinic acid (ALA), and the data  compared with previous results if available    C.  Urine porphyrin analysis   D.  Liver function studies    E.  A and B for each exacerbation ",E . A and B each time 
