Question,Answer,Explanation
The multidrug resistance (mdr) phenotype is a well-   established mechanism of cellular drug resistance. Which  one of the following statements is true regarding this re - sistance mechanism?,E,"The multidrug resistance (mdr) gene encodes a P 170 gly coprotein whose function is to cause efflux of drug out of the cell, which results in reduced intracellular accumula tion of drug within the cell. This mechanism is a well es tablished mechanism for a wide range of unrelated classes of drugs, which include anthracyclines, taxanes, campto thecins, and the vinca alkaloids."
"A 55-year-old male with newly diagnosed stage IV colo - rectal cancer and widespread metastatic involvement of  the liver and lungs has been started on FOLFIRI chemo - therapy in combination with the anti-VEGF antibody  bevacizumab. Within 4 days of receiving his first cycle of  therapy, he begins to note increased oral discomfort with  a number of new mouth sores, —six to seven loose stools  per day, repeat CBC shows significant myelosuppression  with neutropenia, and the patient’s wife states that her  husband’s mental status appears to be markedly altered  from his normal baseline. Which of the following enzymes  is most likely altered in this patient?",C,"This is a classic presentation of the DPD deficiency in which there is either partial or complete deficiency in DPD. In this setting, patients present with severe toxici ties in the form of myelosuppression, GI toxicity with diar rhea, mucositis, nausea/vomiting, and neurotoxicity with altered mental status, lethargy, and/or encephalopathy."
Which one of the following statements is correct?,C,"To date, more than 30 sequence variations in the DPD gene have been identified, with the most well established variant being DPD*2A (c.1905 + 1G > A; IVS14+11G.A; rs3918290). This is a single nucleotide variant at the intron boundary of exon 14 that results in a splicing defect, skip ping of the entire exon, and a completely inactive protein. The other DPD variants that are associated with reduced DPD enzyme activity and increased 5 FU toxicity include DPD *5, DPD *6, DPD *9A, DPD *13 (c.1679T > G; I560S; rs55886062), c.2846A > T (D949V; rs67376798), c.1236G > A (E412E; rs56038477). It has now been well established that not all DPD mutations are associated with DPD deficiency. In fact, there are some mutations that lead to increased DPD expression and activity. In up to 40% of patients who present with the class symptoms of DPD deficiency, muta tions in the DPD gene have yet to be identified."
Bevacizumab exerts its antiangiogenic effects by binding  to which one of the VEGF ligands?,A,"Bevacizumab binds to only the VEGF A ligand, of which there are 6 isoforms. In contrast, ziv aflibercept binds to VEGF A, VEGF B, and PlGF."
Treatment with panitumumab is associated with which  electrolyte abnormality?,D,"Treatment with anti EGFR antibodies, cetuximab and panitumumab, is associated with magnesium wasting with inappropriate urinary excretion, which then leads to Cancer Chemotherapy 10 hypomagnesemia. EGFR is strongly expressed in the kidney, especially in the ascending limb of the loop of Henle, where up to 70% of filtered magnesium is reabsorbed. In patients being treated with anti EGFR antibody therapy, serum mag nesium levels need to be routinely measured and repleted as necessary."
A 49-year-old white female is diagnosed with stage III  colon cancer. She is diabetic and has impaired kidney  function with a creatinine clearance (CrCl) of 35 mL/ min. She has decided to be treated with the XELOX com - bination regimen. Which of the following statements is  correct?,B,"Capecitabine and capecitabine metabolites are cleared by the kidneys, and increased toxicity has been observed with capecitabine therapy in the presence of renal impairment. The capecitabine dose does not need to be dose reduced when the CrCl is greater than 50 mL/min. The dose of capecitabine needs to be reduced by 25% when the CrCl is between 30 and 50 mL/min. Capecitabine is contraindicated and should not be administered when the CrCl is less than 30 mL/min."
A 49-year-old white female is diagnosed with stage III co - lon cancer. She is diabetic and has impaired kidney func - tion with a CrCl of 35 mL/min. She has decided to be  treated with the XELOX combination regimen. Which of  the following is true relating to oxaliplatin dosing?,A,"As with other platinum agents, oxaliplatin is excreted by the kidneys. However, renal dysfunction studies have shown no increase in pharmacodynamic drug related tox icities in patients with mild or moderate renal dysfunction and CrCl down to 20 mL/min. No formal studies have been conducted to date in patients with CrCl <20 mL/min, and in this setting of severe renal dysfunction, oxaliplatin should not be administered"
Which of the following statements about the platinum  agents is correct?,E,"The DNA lesions are similar for cisplatin, carboplatin, and oxaliplatin with formation of both inter and intrastrand crosslinks. With respect to safety profile, carboplatin is less nephrotoxic and less emetogenic than cisplatin, but signifi cantly more myelosuppressive than cisplatin. The resist ance mechanisms for cisplatin and carboplatin are identi cal. However, in the presence of mismatch repair defects where cisplatin and carboplatin resistance develops, sen sitivity to oxaliplatin is maintained, which explains the ef ficacy of oxaliplatin in colorectal cancer and other GI can cers where mismatch repair defects have been identified. Oxaliplatin can be safely administered to patients with ab normal function with CrCl down to as low as 20 mL/min"
"A 64-year-old patient with early-stage node-positive ER+  breast cancer is about to start on tamoxifen for her adju - vant therapy. She has a long-standing history of depres -CHAPTER 3 Cancer Chemotherapy Edward ChuSECTION 2Anti-Cancer TherapiesCancer Chemotherapy 8 sion for the past 18 years and has been on paroxetine. Her  depressive symptoms have been well controlled, and she  believes that she needs to continue with antidepressive  therapy. Which one of the following liver microsomal en - zymes is responsible for tamoxifen metabolism?",C,"Tamoxifen is a prodrug that is activated by the liver micro somal system and specifically CYP2D6 to form endoxifen and other active metabolites. In patients, the activity of this enzyme can be highly variable leading to variations in the levels of the active metabolites of tamoxifen. Patients can have reduced CYP2D6 activity because of their genotype of by coadministration of drugs that inhibit CYP2D6 func tion. In both cases, there is reduced formation of endox ifen, an active metabolite of tamoxifen, which then leads to inferior clinical benefit from tamoxifen."
"In a breast cancer patient who is on adjuvant tamoxifen  therapy, which one of the following is the most appropri - ate treatment option for her depression?",E,"Tamoxifen is a prodrug that is activated by the liver micro somal system and specifically CYP2D6 to form the active metabolite endoxifen. Inhibitors of CYP2D6 can lead to a reduced formation of the active metabolites. Antidepressant agents, including St. John’s wort, duloxetine, fluoxetine, par oxetine, bupropion, and sertraline, are inhibitors of CYP2D6, which can then interfere and inhibit tamoxifen metabolism, leading to lower blood levels of the active tamoxifen metabo lites."
